asahikawa_01	旭川市　実延長面積調書	調書名=旭川市実延長面積調書
asahikawa_02	旭川市　道路台帳	調書名=旭川市道路台帳
asahikawa_03	旭川市　路面別延長リスト	調書名=旭川市路面別延長リスト
asahikawa_04	橋調書　旭川市仕様	調書名=道路台帳第４表（橋調書）－旭川市仕様
bougosaku_01	防護柵調書	調書名=防護柵調書
bougosaku_02	防護柵調書　北海道仕様	調書名=防護柵調書北海道仕様
bubunjihodo_01	道路現況（部分自歩道）台帳　延べ	調書名=道路現況（部分自歩道）台帳延べ
bubunjihodo_02	道路現況（部分自歩道）台帳　設置	調書名=道路現況（部分自歩道）台帳設置
daichoseibiniyoru_01	台帳整備による～増加数値に関する調べ	調書名=台帳整備による道路橋りょう費の測定単位の増加数値に関する調べ
daichoseibiniyoru_02	台帳整備による～増加数値'等'に関する調べ	調書名=台帳整備による道路橋りょう費の測定単位の増加数値等に関する調べ
dorogenkyosokatsu_01	道路現況総括表	調書名=道路現況総括表
dorogenkyosokatsu_02	道路現況総括表　ブロック	調書名=道路現況総括表ブロック
dorogenkyosokatsu_03	道路現況総括表　メートル単位	調書名=道路現況総括表メートル単位
dorogenkyosokatsu_04	道路現況総括表　メートル単位ブロック	調書名=道路現況総括表メートル単位ブロック
dorogenkyosokatsu_05	道路現況台帳　鹿児島	調書名=道路現況台帳鹿児島
dorogenkyosokatsu_06	道路現況台帳　鹿児島（道路種別別）	調書名=道路現況台帳鹿児島（道路種別別）
doroho_01	道路台帳第１表	調書名=道路台帳第１表
doroho_02	実延長調書	調書名=道路台帳第２表（実延長調書）
doroho_03	トンネル調書	調書名=道路台帳第３表（トンネル調書）
doroho_04	橋調書	調書名=道路台帳第４表（橋調書）
doroho_05	鉄道等との交差調書	調書名=道路台帳第５表（鉄道等との交差調書）
doroho_06	トンネル調書　区間属性値使用	調書名=道路台帳第３表（トンネル調書）－区間属性値使用
doroho_07	橋調書－施設属性値使用	調書名=道路台帳第４表（橋調書）－施設属性値使用
doroho_08	鉄道等との交差調書　区間属性値使用	調書名=道路台帳第５表（鉄道等との交差調書）－区間属性値使用
doroho_09	第１表　異動路線	調書名=道路台帳第１表－異動路線
doroho_10	実延長調書　異動路線	調書名=道路台帳第２表（実延長調書）－異動路線
dorokyoryo_01	道路橋梁調書（異動調書）	調書名=道路橋梁調書（異動調書）
dorokyoryo_02	異動調書一宮大宮	調書名=道路橋梁調書（異動調書一宮大宮）
dorokyoryo_03	道路橋梁調書	調書名=道路橋梁調書
dorokyoryo_04	道路橋梁調書（異動調書）２葉の１	調書名=道路橋梁調書（異動調書）２葉の１
dorokyoryo_05	道路橋梁調書（異動調書）２葉の２	調書名=道路橋梁調書（異動調書）２葉の２
dorokyoryo_06	道路橋梁調書（異動調書）２葉の１東北	調書名=道路橋梁調書（異動調書）２葉の１東北
dorokyoryo_07	道路橋梁調書（異動調書）２葉の２東北	調書名=道路橋梁調書（異動調書）２葉の２東北
dorokyoryo_08	道路橋梁調書ブロック	調書名=道路橋梁調書ブロック
dorokyoryo_09	道路橋梁調書　岩手県仕様	調書名=道路橋梁調書岩手県仕様
dorokyoryo_10	道路橋梁調書　岩手県仕様ブロック	調書名=道路橋梁調書岩手県仕様ブロック
dorokyoryo_11	道路橋梁調書　道路種別整理番号順	調書名=道路橋梁調書－道路種別整理番号順
dorokyoryo_12	道路橋梁調書米沢仕様	調書名=道路橋梁調書米沢仕様
dorokyoryo_13	道路橋梁調書米沢仕様ブロック	調書名=道路橋梁調書米沢仕様ブロック
dorogenkyo_01	２葉の１　	調書名=道路現況調書（２葉の１）
dorogenkyo_02	２葉の２　	調書名=道路現況調書（２葉の２）
dorogenkyo_03	２葉の１　集計頁	調書名=道路現況調書（２葉の１）集計頁
dorogenkyo_04	２葉の２　集計頁	調書名=道路現況調書（２葉の２）集計頁
dorogenkyo_05	３葉の１　	調書名=道路現況調書（３葉の１）
dorogenkyo_06	３葉の２　	調書名=道路現況調書（３葉の２）
dorogenkyo_07	３葉の３　	調書名=道路現況調書（３葉の３）
dorogenkyo_08	３葉の１　集計頁	調書名=道路現況調書（３葉の１）集計頁
dorogenkyo_09	３葉の２　集計頁	調書名=道路現況調書（３葉の２）集計頁
dorogenkyo_10	３葉の３　集計頁	調書名=道路現況調書（３葉の３）集計頁
dorogenkyo_11	２葉の１　異動	調書名=道路現況調書（２葉の１）異動
dorogenkyo_12	２葉の２　異動	調書名=道路現況調書（２葉の２）異動
dorogenkyo_13	２葉の１　異動集計頁	調書名=道路現況調書（２葉の１）異動集計頁
dorogenkyo_14	２葉の２　異動集計頁	調書名=道路現況調書（２葉の２）異動集計頁
dorogenkyo_15	３葉の１　異動集計頁	調書名=道路現況調書（３葉の１）異動集計頁
dorogenkyo_16	３葉の２　異動	調書名=道路現況調書（３葉の２）異動
dorogenkyo_17	３葉の２　異動集計頁	調書名=道路現況調書（３葉の２）異動集計頁
dorogenkyo_18	３葉の３　異動	調書名=道路現況調書（３葉の３）異動
dorogenkyo_19	３葉の３　異動集計頁	調書名=道路現況調書（３葉の３）異動集計頁
dorogenkyo_20	２葉の１　ブロック	調書名=道路現況調書（２葉の１）ブロック
dorogenkyo_21	２葉の２　ブロック	調書名=道路現況調書（２葉の２）ブロック
dorogenkyo_22	２葉の１　－道路種別整理番号順	調書名=道路現況調書（２葉の１）－道路種別整理番号順
dorogenkyo_23	２葉の２　－道路種別整理番号順	調書名=道路現況調書（２葉の２）－道路種別整理番号順
dorogenkyo_24	３葉の１　異動	調書名=道路現況調書（３葉の１）異動
dorogenkyo_25	新潟県仕様	調書名=道路現況調書「新潟県仕様」
dorogenkyo_26	新潟県仕様ブロック	調書名=道路現況調書「新潟県仕様」ブロック
dorogenkyo_27	新潟県仕様－異動路線	調書名=道路現況調書「新潟県仕様」－異動路線
dorogenkyo_28	道路現況調書松山仕様	調書名=道路現況調書松山仕様
dorogenkyo_29	道路現況調書浜北仕様	調書名=道路現況調書浜北仕様
dorogenkyo_30	道路現況調書浜北仕様ブロック	調書名=道路現況調書浜北仕様ブロック
genkyoido_01	道路現況異動調書	調書名=道路現況異動調書
genkyokukan_01	現況区間調書（１）	調書名=道路現況区間調書（１）
genkyokukan_02	現況区間調書（２）	調書名=道路現況区間調書（２）
genkyokukan_03	現況区間調書（１）－異動路線	調書名=道路現況区間調書（１）－異動路線
genkyokukan_04	現況区間調書（２）－異動路線	調書名=道路現況区間調書（２）－異動路線
hodo_01	道路現況（部分自歩道）台帳延べ	調書名=道路現況（部分自歩道）台帳延べ
hodo_02	道路現況（部分自歩道）台帳設置	調書名=道路現況（部分自歩道）台帳設置
hodo_03	第３号様式（部分自歩道）	調書名=道路施設現況調査第３号様式（部分自歩道）
hodo_04	歩道区分別集計	調書名=歩道区分別集計
hodo_05	歩道現況調書	調書名=歩道現況調書
hodo_06	歩道調書	調書名=歩道調書
hodo_07	歩道等設置道路延長の幅員別内訳　整理番号	調書名=歩道等設置道路延長の幅員別内訳－整理番号
hodo_08	歩道等設置道路延長の幅員別内訳　道路種別	調書名=歩道等設置道路延長の幅員別内訳－道路種別
hosei_01	道路台帳補正一覧表	調書名=道路台帳補正一覧表
ido_01	道路現況異動調書	調書名=道路現況異動調書
ido_02	道路橋梁調書（異動調書）	調書名=道路橋梁調書（異動調書）
ido_03	異動調書一宮大宮	調書名=道路橋梁調書（異動調書一宮大宮）
ido_04	第１表　異動路線	調書名=道路台帳第１表－異動路線
ido_05	実延長調書　異動路線	調書名=道路台帳第２表（実延長調書）－異動路線
ido_06	２葉の１　異動	調書名=道路現況調書（２葉の１）異動
